id,query_id,query_en,query_type,ground_truth_contexts (gcs link),expected_answer,difficulty,notes_id,notes_en
Q-001,Aluna jatuh dari kuda,Aluna fall from horse,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%201%20dan%202%20-%20Gara%20Gara%20Bantuan%20Aluna%2C%20Galaxy%20Malah%20Dapat%20Sial.mp4,Episode 1&2 - around 00:54,Easy,result in rank 2,
Q-002,Aluna injak jam tangan,Aluna step on watch,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%201%20dan%202%20-%20Gara%20Gara%20Bantuan%20Aluna%2C%20Galaxy%20Malah%20Dapat%20Sial.mp4,Episode 1&2 - around 03:45,Medium,not shown at all,not shown at all
Q-003,Galaxy naik mobil sport,Galaxy ride a sports car,Soap opera,"https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%203%20-%20Cinta%20Segitiga!%20Aluna%20%26%20Felicia%20Sama-Sama%20Naksir%20Ezra.mp4 
https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%203%20-%20Salting%20Abis!!%20Galaxy%20Puji%20Aluna%20Cantik.mp4 ","Episode 3A - around 01:35
Episode 3B - around 05:05",Easy,,result in rank 2
Q-004,Aluna bertemu ayahnya,Aluna meet her father,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%204%20dan%205%20-%20BAPER!!!%20Galaxy%20Tenangkan%20Aluna%20Yang%20Bersedih.mp4,Episode 4&5A - around 00:25,Easy,rank 2,
Q-005,Ibu Aluna marah ke suaminya,Aluna's mother mad at her husband,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%204%20dan%205%20-%20BAPER!!!%20Galaxy%20Tenangkan%20Aluna%20Yang%20Bersedih.mp4,Episode 4&5A - around 01:33,Easy,rank 2,rank 2
Q-006,Galaxy menjemput Aluna pakai motor,Galaxy fetches Aluna with motorbike,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%204%20dan%205%20-%20Ihiy!%20Galaxy%20Ngarep%20Pacaran%20Sama%20Aluna.mp4,Episode 4&5B - around 00:20,Easy,rank 2,rank 2
Q-007,Aluna curiga Galaxy bukan tukang kuda,Aluna suspects that Galaxy is not a horse groom,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20ADUH!!%20Aluna%20Mulai%20Curiga%20Kalau%20Axy%20Bukan%20Tukang%20Kuda.mp4,Episode 6A - around 02:00,Medium,not shown at all,not shown at all
Q-008,Robby menjewer telinga Galaxy,Robby pulls Galaxy's ear,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20ADUH!!%20Aluna%20Mulai%20Curiga%20Kalau%20Axy%20Bukan%20Tukang%20Kuda.mp4,Episode 6A - around 05:54,Easy,rank 4,rank 3
Q-009,Pak Omar ketahuan selingkuh oleh istrinya,Mr. Omar was caught cheating by his wife,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20Ngakak!%20Ezra%20Ketahuan%20Lagi%20Fotoin%20Feli.mp4,Episode 6B - around 00:35,Medium,rank 4,rank 4
Q-010,Ezra mengambil foto Felicia,Ezra taking photo of Felicia,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20Ngakak!%20Ezra%20Ketahuan%20Lagi%20Fotoin%20Feli.mp4,Episode 6B - around 06:10,Easy,,
